year,month,res.price,res.sales.adj,com.price,com.sales.adj,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM,DT90,DX32,DT00,DT32,DP01,DP05,DP10,MDPT,VISIB,WDSP,MWSPD,GUST,HTDD,CLDD,LABOR,EMP,UNEMP,UNEMPRATE,PCINCOME,GSP
,,cents/KWHr,GWHr,cents/KWHr,GWHr,mm,mm,mm,mm,,,,,,days,days,days,days,days,days,days,,km,m/s,m/s,m/s,,,,,,%,USD,million USD
1990,1,7.68,9204.26,6.74,5629.84,34.69,0,91.280,0,29.34,6.33,25.16,14.51,19.83,0.00,0,0,0.00,5.00,2.40,1.53,11.27,12.66,2.99,5.59,8.55,223.42,29.99,6382604,6016520,366084,5.70,29590.85,418825
1990,2,7.84,6760.42,6.67,5779.63,35.26,0,68.913,0,29.97,6.77,26.11,14.18,20.15,0.00,0,0,0.13,3.80,1.73,0.67,12.66,13.27,3.77,6.51,9.48,122.38,49.82,6410600,6041547,369053,5.80,29590.85,418825
1990,3,7.79,6375.71,6.65,5727.16,39.91,0,81.813,0,32.27,7.61,27.21,15.39,21.30,1.07,0,0,0.00,4.53,2.27,0.73,12.69,13.91,3.52,6.15,9.17,96.97,49.27,6433214,6061089,372125,5.80,29590.85,418825
1990,4,7.90,6356.13,6.73,5835.49,36.80,0,92.873,0,34.67,14.77,30.73,20.02,25.37,9.60,0,0,0.00,5.07,2.20,1.13,13.68,13.46,3.41,6.05,8.94,51.11,83.56,6449388,6073585,375803,5.80,29590.85,418825
1990,5,7.83,7481.00,6.67,6393.53,48.07,0,154.980,0,35.83,17.53,32.75,22.13,27.42,20.40,0,0,0.00,7.27,4.20,2.27,17.96,13.38,3.33,5.90,8.83,3.64,254.15,6460750,6080536,380214,5.90,29590.85,418825
1990,6,7.71,9534.48,6.6,6922.67,49.66,0,166.173,0,36.31,20.53,33.07,23.01,28.04,22.80,0,0,0.00,9.60,4.27,1.67,20.05,12.90,2.54,5.51,8.98,0.00,344.62,6469062,6083392,385670,6.00,29590.85,418825
1990,7,7.70,10304.87,6.59,7044.78,41.91,0,144.060,0,36.11,20.32,33.59,22.96,28.28,26.40,0,0,0.00,9.33,3.60,1.53,21.16,13.35,2.64,5.73,9.57,0.00,381.77,6477033,6084167,392866,6.10,29590.85,418825
1990,8,7.70,10824.75,6.57,7253.45,38.67,0,109.060,0,35.37,16.21,32.47,21.92,27.20,19.13,0,0,0.00,6.53,2.73,1.20,21.35,12.25,2.13,5.30,9.12,0.00,389.41,6485459,6083808,401651,6.20,29590.85,418825
1990,9,7.69,10527.10,6.61,7037.86,44.94,0,114.627,0,33.31,8.31,29.51,19.15,24.34,5.93,0,0,0.00,6.27,2.67,1.60,19.73,12.81,2.55,5.20,8.32,2.02,336.66,6492799,6081382,411417,6.30,29590.85,418825
1990,10,7.76,9707.97,6.65,6973.15,20.65,0,34.553,0,29.89,7.07,26.11,13.98,20.03,0.07,0,0,0.07,3.13,0.73,0.33,17.09,13.65,3.14,5.63,8.74,41.99,220.38,6497505,6075768,421737,6.50,29590.85,418825
1990,11,7.89,7593.31,6.71,6386.17,18.13,0,35.673,0,28.92,3.45,24.36,12.77,18.57,0.00,0,0,1.27,3.47,0.73,0.20,13.22,13.95,3.00,5.40,8.22,105.94,60.23,6500099,6068300,431799,6.60,29590.85,418825
1990,12,7.96,6913.65,6.82,5926.30,63.03,0,198.067,0,28.91,3.56,22.63,13.00,17.83,0.00,0,0,1.20,8.07,4.07,2.60,12.65,13.26,2.98,5.29,8.40,192.46,40.24,6501640,6060234,441406,6.80,29590.85,418825
1991,1,8.18,7278.99,6.99,5849.44,18.67,0,40.353,0,29.14,-0.36,22.99,11.77,17.37,0.00,0,0,1.27,3.20,1.13,0.33,12.34,12.24,3.06,5.52,8.60,231.14,37.19,6503384,6052024,451360,6.90,29026.15,421103
1991,2,8.24,6929.07,7.15,5495.58,58.51,0,152.020,0,31.42,4.03,25.40,14.25,19.80,0.27,0,0,0.27,6.07,3.33,1.87,9.60,13.67,3.40,5.99,9.17,200.23,18.94,6507630,6045622,462008,7.10,29026.15,421103
1991,3,8.23,6993.21,7.13,5590.15,47.07,0,140.547,0,33.29,10.33,28.64,18.64,23.66,3.00,0,0,0.00,7.33,3.93,2.00,12.36,12.76,3.80,6.65,9.68,127.82,61.45,6513776,6041212,472564,7.30,29026.15,421103
