플러그번호,날짜,매장번호,전류값
3,2020-08-01 0:00,11,90.38
3,2020-08-01 0:05,11,84.05
3,2020-08-01 0:10,11,119.02
3,2020-08-01 0:15,11,117.24
3,2020-08-01 0:20,11,84.16
3,2020-08-01 0:25,11,109.6
3,2020-08-01 0:30,11,90.1
3,2020-08-01 0:35,11,91.99
3,2020-08-01 0:40,11,120.05
3,2020-08-01 0:45,11,106.75
3,2020-08-01 0:50,11,88.01
3,2020-08-01 0:55,11,93.02
3,2020-08-01 1:00,11,94.44
3,2020-08-01 1:05,11,106.82
3,2020-08-01 1:10,11,97.99
3,2020-08-01 1:15,11,105.2
3,2020-08-01 1:20,11,124.41
3,2020-08-01 1:25,11,106.27
3,2020-08-01 1:30,11,90.62
3,2020-08-01 1:35,11,118.02
3,2020-08-01 1:40,11,95.5
3,2020-08-01 1:45,11,111.13
3,2020-08-01 1:50,11,113.11
3,2020-08-01 1:55,11,107.28
3,2020-08-01 2:00,11,103.68
3,2020-08-01 2:05,11,124.67
3,2020-08-01 2:10,11,85.75
3,2020-08-01 2:15,11,89.07
3,2020-08-01 2:20,11,95.52
3,2020-08-01 2:25,11,94.22
3,2020-08-01 2:30,11,121.69
3,2020-08-01 2:35,11,109.74
3,2020-08-01 2:40,11,106.52
3,2020-08-01 2:45,11,117.61
3,2020-08-01 2:50,11,116.5
3,2020-08-01 2:55,11,117.22
3,2020-08-01 3:00,11,92.64
3,2020-08-01 3:05,11,118.02
3,2020-08-01 3:10,11,113.21
3,2020-08-01 3:15,11,128.91
3,2020-08-01 3:20,11,83.88
3,2020-08-01 3:25,11,91.25
3,2020-08-01 3:30,11,98.1
3,2020-08-01 3:35,11,107.12
3,2020-08-01 3:40,11,111.71
3,2020-08-01 3:45,11,83.87
3,2020-08-01 3:50,11,105.22
3,2020-08-01 3:55,11,115.2
3,2020-08-01 4:00,11,107.39
3,2020-08-01 4:05,11,103.28
3,2020-08-01 4:10,11,98.83
3,2020-08-01 4:15,11,95.91
3,2020-08-01 4:20,11,86.75
3,2020-08-01 4:25,11,122.67
3,2020-08-01 4:30,11,92.4
3,2020-08-01 4:35,11,100.24
3,2020-08-01 4:40,11,112.63
3,2020-08-01 4:45,11,87.56
3,2020-08-01 4:50,11,93.09
3,2020-08-01 4:55,11,90.19
3,2020-08-01 5:00,11,105.21
3,2020-08-01 5:05,11,101.11
3,2020-08-01 5:10,11,97.15
3,2020-08-01 5:15,11,84.63
3,2020-08-01 5:20,11,118.48
3,2020-08-01 5:25,11,106.74
3,2020-08-01 5:30,11,119.4
3,2020-08-01 5:35,11,91.51
3,2020-08-01 5:40,11,121.38
3,2020-08-01 5:45,11,106.61
3,2020-08-01 5:50,11,114.19
3,2020-08-01 5:55,11,98.12
3,2020-08-01 6:00,11,118.38
3,2020-08-01 6:05,11,104.32
3,2020-08-01 6:10,11,110.31
3,2020-08-01 6:15,11,98.82
3,2020-08-01 6:20,11,110.52
3,2020-08-01 6:25,11,95.95
3,2020-08-01 6:30,11,116.02
3,2020-08-01 6:35,11,98.95
3,2020-08-01 6:40,11,102.91
3,2020-08-01 6:45,11,126.08
3,2020-08-01 6:50,11,103.09
3,2020-08-01 6:55,11,127.55
3,2020-08-01 7:00,11,114.3
3,2020-08-01 7:05,11,129.79
3,2020-08-01 7:10,11,119.79
3,2020-08-01 7:15,11,146.91
3,2020-08-01 7:20,11,118.24
3,2020-08-01 7:25,11,153.56
3,2020-08-01 7:30,11,141.91
3,2020-08-01 7:35,11,126.15
3,2020-08-01 7:40,11,130.92
3,2020-08-01 7:45,11,117.86
3,2020-08-01 7:50,11,121.34
3,2020-08-01 7:55,11,139.81
3,2020-08-01 8:00,11,135.8
3,2020-08-01 8:05,11,124.15
3,2020-08-01 8:10,11,140.96
3,2020-08-01 8:15,11,154.5
3,2020-08-01 8:20,11,130.15
3,2020-08-01 8:25,11,123.51
3,2020-08-01 8:30,11,150.73
3,2020-08-01 8:35,11,137.47
